일자,지수,대비,기관,외국인,개인,기타,금융투자,보험,투신,사모,은행,기타금융,연기금 등,국가,외인-기타,외국인합,기타법인,합계
2020-11-12,329.72,-1.4,"-782,333","472,075","289,019","20,720","-615,503","-13,494","-1,597","-36,793","2,421","2,149","-119,516",0,518,"472,594","20,720",0
2020-11-11,331.12,4.99,"432,773","805,931","-1,191,897","-24,761","493,974","-10,443","-41,650","-16,384","-3,919","3,925","7,270",0,"-22,046","783,885","-24,761",0
2020-11-10,326.13,0.3,"-328,308","134,173","207,896","-11,011","-205,166","-9,828","-57,729","-30,347","1,484",23,"-26,743",0,"-2,750","131,422","-11,011",0
2020-11-09,325.83,3.73,"361,531","236,010","-585,331","-8,206","580,873","-40,410","-17,809","4,264","-2,264","-3,775","-159,349",0,"-4,004","232,006","-8,206",0
2020-11-06,322.1,0.59,"-8,979","720,391","-722,311","12,253","59,542","-57,813","-8,890","9,667","-1,068","2,527","-12,944",0,"-1,353","719,038","12,253",0
2020-11-05,321.51,7.68,"465,509","1,059,746","-1,521,813","3,150","436,919","-13,378","63,669","27,695","1,222","2,110","-52,729",0,"-6,592","1,053,154","3,150",0
2020-11-04,313.83,1.76,"388,583","-182,933","-246,931","42,167","395,532","-26,128","22,110","8,422","3,595",-469,"-14,479",0,-886,"-183,819","42,167",0
2020-11-03,312.07,6.12,"430,863","187,845","-611,472","-3,477","294,269","8,004","13,049","22,921","-1,060",718,"92,961",0,"-3,758","184,087","-3,477",0
2020-11-02,305.95,4.35,"31,910","25,554","-70,405","10,918","-53,469","8,352","13,174","2,866","-1,004","1,049","60,942",0,"2,022","27,577","10,918",0
2020-10-30,301.6,-8.34,"-408,992","-841,127","1,218,185","28,532","-334,640","-12,779","-9,011","-32,918","-2,034",-540,"-17,070",0,"3,403","-837,725","28,532",0
2020-10-29,309.94,-3.23,"-462,818","-423,813","851,857","33,376","-396,921","12,050","8,140","-31,363","1,727","-1,923","-54,527",0,"1,398","-422,415","33,376",0
2020-10-28,313.17,1.37,"-151,451","-13,850","153,053","7,878","-158,871","-20,870","15,451","22,725",-481,"1,930","-11,336",0,"4,370","-9,480","7,878",0
2020-10-27,311.8,-1.73,"-219,599","91,283","91,415","38,165","-229,329","17,417","21,223","-14,796","1,710","-1,082","-14,742",0,"-1,266","90,018","38,165",0
2020-10-26,313.53,-1.26,"317,696","-110,714","-192,945","-16,255","82,318","38,924","87,418","20,914","1,067",108,"86,947",0,"2,218","-108,496","-16,255",0
2020-10-23,314.79,1.02,"238,639","59,573","-309,492","11,151","61,817","21,514","40,177","27,753","-1,388",37,"88,729",0,128,"59,702","11,151",0
2020-10-22,313.77,-1.99,"34,816","-127,764","90,705","2,581","42,727","29,838","-34,975","-2,403","1,290","2,721","-4,383",0,-339,"-128,102","2,581",0
2020-10-21,315.76,1.05,"163,557","-25,275","-151,845","13,711","215,145","46,047","9,058","2,236","1,347","2,571","-112,846",0,-148,"-25,424","13,711",0
2020-10-20,314.71,2.12,"313,757","50,227","-359,139","-6,428","221,071","-5,273","14,106","6,275","1,429","-1,352","77,501",0,"1,583","51,811","-6,428",0
2020-10-19,312.59,0.76,"329,089","5,228","-345,666","13,713","456,977","-11,946","32,659","11,807","-1,020","1,591","-160,979",0,"-2,364","2,865","13,713",0
2020-10-16,311.83,-2.09,"-135,619","-150,243","264,869","21,534","89,515","-18,313","-47,458","-24,084",-117,"4,037","-139,198",0,-540,"-150,784","21,534",0
2020-10-15,313.92,-2.65,"-78,598","23,874","63,449","-8,182","-14,497","8,799","-2,366","-2,713","-1,491","1,314","-67,643",0,-543,"23,331","-8,182",0
2020-10-14,316.57,-3.01,"-310,276","-64,275","372,954",-62,"-100,197","-27,659","-30,474","-21,201",-200,318,"-130,862",0,"1,659","-62,616",-62,0
2020-10-13,319.58,0.43,"-129,918","146,835","-14,857","-2,688","-110,143","-4,310","10,736","-1,046","7,502","1,725","-34,382",0,628,"147,463","-2,688",0
2020-10-12,319.15,1.68,"98,201","154,015","-261,621","10,638","74,917","-5,626","7,542","-13,685",511,"-1,864","36,407",0,"-1,233","152,782","10,638",0
2020-10-08,317.47,0.12,"-620,736","729,553","-133,900","24,177","-554,942","-1,583","24,147","13,869","-1,417","-2,776","-98,034",0,906,"730,459","24,177",0
2020-10-07,317.35,2.9,"432,303","-54,374","-385,748","9,153","395,394","1,214","-17,185","4,064",647,99,"48,070",0,"-1,334","-55,708","9,153",0
2020-10-06,314.45,0.94,165,"188,959","-200,070","9,428","-30,246","-10,144","-2,111","22,934",-649,"2,053","18,328",0,"1,518","190,477","9,428",0
2020-10-05,313.51,4.07,"378,664","215,128","-589,920","-3,453","248,448","30,768","19,691","23,766",-146,"-6,095","62,232",0,-419,"214,708","-3,453",0
2020-09-29,309.44,2.41,"150,166","-29,399","-166,474","46,301","198,354","25,455","31,413","32,718","1,295",403,"-139,472",0,-594,"-29,993","46,301",0
2020-09-28,307.03,3.46,"159,765","-81,478","-89,759","12,292","190,567",951,"15,596","1,709",253,-583,"-48,727",0,-820,"-82,298","12,292",0
2020-09-25,303.57,1.09,"92,577","-58,645","-30,504","-2,703","81,663",-487,"3,737","2,189","-1,716",-360,"7,550",0,-724,"-59,369","-2,703",0
2020-09-24,302.48,-7.16,"-117,890","-160,651","268,543","11,257","-59,116","8,169","3,004","-37,740","-1,270","2,282","-33,220",0,"-1,259","-161,910","11,257",0
2020-09-23,309.64,0.82,"-256,606","-16,469","261,260","10,463","-257,556","2,540","-8,148","5,244","2,837","7,735","-9,258",0,"1,352","-15,117","10,463",0
2020-09-22,308.82,-7.07,"-714,774","-24,105","727,511","9,938","-485,442",-77,"-12,217","-37,486","-4,908","-7,928","-166,715",0,"1,429","-22,676","9,938",0
2020-09-21,315.89,-2.5,"83,917","-12,671","-83,938","15,099","119,964","6,906","-1,844","-18,200","-1,679","1,375","-22,604",0,"-2,407","-15,078","15,099",0
2020-09-18,318.39,0.39,"23,876","-50,062","6,368","20,339","78,537","-8,202","-19,207","-29,390","-1,477",832,"2,784",0,-521,"-50,584","20,339",0
2020-09-17,318,-4.31,"-305,522","-64,341","364,120","3,982","-205,429","-3,506","-21,029","-32,003","2,294",454,"-46,304",0,"1,761","-62,580","3,982",0
2020-09-16,322.31,-1.05,"-285,685","203,178","81,677","-2,432","-119,663","-13,121","-98,401","-19,736","-1,438","1,570","-34,896",0,"3,262","206,440","-2,432",0
2020-09-15,323.36,2.38,"-186,983","332,587","-175,857","28,009","-100,807","-18,272","-67,274","-12,082","-5,730","2,728","14,455",0,"2,245","334,831","28,009",0
2020-09-14,320.98,4.53,"116,874","174,519","-340,182","50,030","189,491","32,904","-37,640","11,345",403,"-1,444","-78,185",0,"-1,241","173,278","50,030",0
2020-09-11,316.45,-0.08,"-291,431","-128,447","380,606","38,198","-121,664","-3,529","-37,810","-26,986",-814,"1,022","-101,651",0,"1,075","-127,372","38,198",0
2020-09-10,316.53,2.76,"-458,026","374,412","58,326","26,685","-106,270","-20,753","-109,506","-17,517","4,439","-1,756","-206,663",0,"-1,397","373,015","26,685",0
2020-09-09,313.77,-3.61,"-404,756","-69,541","440,997","32,720","-95,518","1,897","-78,365","-54,240","-2,949",-226,"-175,354",0,580,"-68,961","32,720",0
2020-09-08,317.38,3.71,"15,216","7,406","-38,500","13,845","58,304","-33,618","-48,972","-33,663","1,658","2,024","69,484",0,"2,033","9,439","13,845",0
2020-09-07,313.67,1.64,"-304,797","-270,400","579,415","-4,592","-147,266","-35,976","-28,611","-8,641","-6,646","-3,408","-74,249",0,373,"-270,027","-4,592",0
2020-09-04,312.03,-4.4,"-782,786","-363,212","1,175,114","-34,750","-504,053","-32,112","-51,602","-80,132","3,474","-1,117","-117,244",0,"5,635","-357,577","-34,750",0
2020-09-03,316.43,4.93,"-160,260","239,076","-111,813","30,985","-61,654","-12,920","-47,653","28,900",-375,"1,748","-68,307",0,"2,013","241,089","30,985",0
2020-09-02,311.5,1.69,"-100,937","-253,677","342,911","13,196","-27,532","-15,133","-32,940","-20,252","1,282",-286,"-6,076",0,"-1,494","-255,170","13,196",0
2020-09-01,309.81,2.67,"-21,276","-196,619","207,746","8,404","80,347","-4,271","-39,494","-7,062","-36,533",-635,"-13,628",0,"1,745","-194,874","8,404",0
2020-08-31,307.14,-5.1,"35,861","-1,751,151","1,655,994","56,309","97,007","5,490","-53,493","-6,607","-7,997","2,380",-919,0,"2,987","-1,748,164","56,309",0
2020-08-28,312.24,0.86,"135,483","-244,711","117,905","-9,225","189,443","-33,183","-23,038","3,364","-2,963",-683,"2,544",0,547,"-244,164","-9,225",0
2020-08-27,311.38,-2.81,"-429,446","115,627","283,819","29,961","-342,402","-11,123","-44,532","-10,252",576,"2,798","-24,510",0,39,"115,666","29,961",0
2020-08-26,314.19,0.6,"-400,945","206,651","160,569","31,741","-346,096","15,649","-4,679","-6,758",401,"3,181","-62,643",0,"1,984","208,635","31,741",0
2020-08-25,313.59,4.26,"-118,518","145,215","-55,375","29,581","-136,705","22,064","-12,989","16,301","-2,149",671,"-5,710",0,-904,"144,312","29,581",0
2020-08-24,309.33,3.17,"23,886","161,917","-239,428","53,574","26,983","11,219","-25,089","2,958","4,367",-456,"3,904",0,51,"161,968","53,574",0
2020-08-21,306.16,4.57,"14,001","237,717","-218,793","-32,873","112,279","1,943","-95,159","-16,424","-3,276","1,167","13,471",0,-52,"237,665","-32,873",0
2020-08-20,301.59,-11.95,"-764,543","-193,324","939,780","13,390","-473,612","-67,443","-86,108","-60,002",-407,"-1,001","-75,970",0,"4,696","-188,628","13,390",0
2020-08-19,313.54,0.7,"-132,657","-300,574","412,142","22,139","17,837","-1,850","-85,055","13,275",984,"-2,731","-75,117",0,"-1,050","-301,625","22,139",0
2020-08-18,312.84,-6.4,"534,611","90,143","-597,450","-27,432","668,066","33,630","-56,045","-29,884",683,"-3,875","-77,964",0,128,"90,270","-27,432",0
2020-08-14,319.24,-4.09,"-58,157","-456,220","527,800","-15,305","290,361","-10,397","-113,541","-61,655",-404,"-6,069","-156,454",0,"1,883","-454,338","-15,305",0
2020-08-13,323.33,0.65,"290,398","-364,857","59,129","11,216","487,441","23,456","-121,930","-4,082","7,059",510,"-102,055",0,"4,115","-360,742","11,216",0
2020-08-12,322.68,1.66,"-130,245","-192,971","297,662","23,578","-29,717","16,286","-27,689","-13,915",820,-54,"-75,976",0,"1,976","-190,994","23,578",0
2020-08-11,321.02,4.25,"116,459","215,260","-322,275","-7,228","382,652","-48,490","-60,018","-29,638",-988,"-7,745","-119,315",0,"-2,216","213,044","-7,228",0
2020-08-10,316.77,4.2,"-166,006","-153,324","302,938","11,943","17,603","-63,956","-53,127","-33,537","-1,578","-13,849","-17,562",0,"4,450","-148,875","11,943",0
2020-08-07,312.57,1.25,"-684,208","-20,491","693,792","9,532","-395,629","-52,256","-52,003","-30,728",462,"-1,419","-152,635",0,"1,375","-19,116","9,532",0
2020-08-06,311.32,4.68,"-9,296","120,321","-113,338","5,794","226,269","-47,053","-38,004","-33,985","5,828","-11,832","-110,519",0,"-3,481","116,840","5,794",0
2020-08-05,306.64,3.6,"-287,880","41,860","260,984","-12,529","-120,361","-31,063","-28,653","-31,274","-1,046","-2,625","-72,858",0,"-2,435","39,425","-12,529",0
2020-08-04,303.04,3.58,"-73,134","-155,802","197,135","26,643","47,700","-42,143","3,456","1,286","1,957","-5,377","-80,012",0,"5,158","-150,644","26,643",0
2020-08-03,299.46,0.14,"-308,535","-230,090","511,333","24,716","-269,080","-8,707","-31,843","29,507",839,630,"-29,881",0,"2,576","-227,514","24,716",0
2020-07-31,299.32,-2.53,"-368,262","-31,350","384,461","17,083","-259,948","-11,639","-37,589","-24,094",376,"-2,458","-32,910",0,"-1,932","-33,282","17,083",0
