일자,지수,대비,기관,외국인,개인,기타,금융투자,보험,투신,사모,은행,기타금융,연기금 등,국가,외인-기타,외국인합,기타법인,합계
2020-11-10,"2,051.04",11.49,"-19,470","-16,827","40,863","-4,291","-1,003","-1,687","-9,092","1,985","-1,470",-566,"-7,638",0,-275,"-17,102","-4,291",0
2020-11-09,"2,039.55",48.34,"3,586","39,975","-41,749","-1,305",610,696,"3,426","1,008",-344,-149,"-1,661",0,-506,"39,468","-1,305",0
2020-11-06,"1,991.21",-0.47,"-1,930","-19,870","23,074",-488,-3,-673,-214,232,-361,80,-991,0,-786,"-20,656",-488,0
2020-11-05,"1,991.68",27.82,494,"25,744","-22,693","-3,752","-2,211",-639,"1,936","1,457",-334,140,145,0,208,"25,951","-3,752",0
2020-11-04,"1,963.86",-0.74,"-10,324","-9,933","23,242","-3,164","-1,139","-1,808","-5,197",-192,-279,-8,"-1,701",0,179,"-9,753","-3,164",0
2020-11-03,"1,964.60",19.62,"1,602","-6,691","4,832",465,-499,219,"1,369",276,83,-8,161,0,-207,"-6,898",465,0
2020-11-02,"1,944.98",27.95,"-9,374","11,494","1,738","-3,523","-2,569",5,"-1,954","-1,988",1,63,"-2,932",0,-335,"11,159","-3,523",0
2020-10-30,"1,917.03",-28.44,"6,972","-24,178","44,346","-27,409","2,700",-144,"1,251",247,339,-302,"2,881",0,269,"-23,910","-27,409",0
2020-10-29,"1,945.47",-2.92,-371,"-27,550","29,367","-1,144","1,388",56,"-1,116","-1,331",334,-32,330,0,-302,"-27,851","-1,144",0
2020-10-28,"1,948.39",37.59,-212,"22,568","-21,787",-433,112,"-2,032","2,221",87,-33,-7,-561,0,-135,"22,433",-433,0
2020-10-27,"1,910.80",-7.81,"-9,909","23,173","-14,810","2,411",-163,"-1,072","-4,313",-449,-199,-128,"-3,585",0,-866,"22,307","2,411",0
2020-10-26,"1,918.61",-50.65,"-9,286","-5,213","14,343",632,-371,-549,"-4,319",-536,-29,-140,"-3,343",0,-476,"-5,690",632,0
2020-10-23,"1,969.26",4.45,"-5,116","-10,869","25,596","-9,230",-585,-643,-539,496,-334,-167,"-3,343",0,-381,"-11,250","-9,230",0
2020-10-22,"1,964.81",-23.53,"-9,299","-1,610","14,833","-4,442",-431,"-1,583","-2,467",-131,"-1,451",-123,"-3,114",0,517,"-1,092","-4,442",0
2020-10-21,"1,988.34",19.47,"-3,482","18,905","-12,274","-2,908",99,-483,-645,300,-252,-27,"-2,473",0,-242,"18,664","-2,908",0
2020-10-20,"1,968.87",-7.65,"-8,154","7,562","4,882","-3,615",895,-740,"-1,274","-1,644",-80,-797,"-4,514",0,-675,"6,887","-3,615",0
2020-10-19,"1,976.52",-2.54,"-5,500","11,912","-5,374",261,"-1,749","-1,382","1,417",-998,-73,-477,"-2,238",0,"-1,299","10,613",261,0
2020-10-16,"1,979.06",-27.49,"-17,922","-9,306","31,290","-3,706","-2,300",-656,"-2,206",439,-462,-109,"-12,629",0,-356,"-9,662","-3,706",0
2020-10-15,"2,006.55",-30.38,"-8,688","-4,103","20,851","-8,685",-603,-511,"-1,279",-579,-37,-182,"-5,495",0,625,"-3,478","-8,685",0
2020-10-14,"2,036.93",-11.41,"-10,387","-16,290","29,681","-2,236",40,408,"-2,210",-582,-156,-136,"-7,752",0,-768,"-17,058","-2,236",0
2020-10-13,"2,048.34",-0.11,"-6,159","-4,941","12,032","-1,149",-962,-512,-862,"-1,797",484,5,"-2,517",0,218,"-4,723","-1,149",0
2020-10-12,"2,048.45",13.51,"-6,684","-16,644","23,725",-223,"-1,200",16,-843,-650,-125,-401,"-3,481",0,-174,"-16,819",-223,0
2020-10-08,"2,034.94",19.27,"-1,058","11,227","-5,330","-3,923","-1,013",4,"2,046",24,-65,71,"-2,126",0,-917,"10,311","-3,923",0
2020-10-07,"2,015.67",12.41,"-12,185",260,"11,027",553,"-7,363","-1,030",301,"-1,471",27,-70,"-2,579",0,345,605,553,0
2020-10-06,"2,003.26",9.09,"-5,535","-24,310","35,759","-5,608",-143,"-2,271",1,"-1,210",-49,-94,"-1,769",0,-307,"-24,617","-5,608",0
2020-10-05,"1,994.17",29.38,"-8,340","-8,996","19,326","-2,111","-1,689",591,"-2,536","-3,241",-70,-134,"-1,262",0,121,"-8,875","-2,111",0
2020-09-29,"1,964.79",18.44,"-10,903","8,004","8,261","-3,442",-768,-817,"-2,318","-5,836",-127,-646,-391,0,"-1,921","6,084","-3,442",0
2020-09-28,"1,946.35",41.76,"-7,148","9,290","-5,778","3,180","-3,441",-427,-80,"-1,510",0,-906,-783,0,456,"9,745","3,180",0
2020-09-25,"1,904.59",-2.86,"-7,384","-4,230","17,522","-6,134",-84,-728,-174,"-4,004",72,108,"-2,573",0,225,"-4,005","-6,134",0
2020-09-24,"1,907.45",-69.99,"-12,072","-12,936","23,394","1,962","-5,777","-1,048","-2,696",-21,38,15,"-2,582",0,-348,"-13,284","1,962",0
2020-09-23,"1,977.44",-1.9,"-6,388","-1,327","8,212",403,-312,-497,"-1,741","-1,876",-723,70,"-1,309",0,-901,"-2,228",403,0
2020-09-22,"1,979.34",-48.9,"-12,530","13,057","6,173","-7,300","-1,926","-1,004","-6,853",706,-687,-320,"-2,446",0,600,"13,657","-7,300",0
2020-09-21,"2,028.24",-30.6,"-8,521","-28,426","54,013","-17,061","2,969","-2,520","-2,872","-1,981",-993,-231,"-2,892",0,-5,"-28,431","-17,061",0
2020-09-18,"2,058.84",-1.57,"-18,793","28,850","-6,336","-4,778","-3,050","-2,785","-3,942","-3,014","-1,716",-253,"-4,034",0,"1,058","29,908","-4,778",0
2020-09-17,"2,060.41",-18.2,"-19,099","-23,626","41,905",819,"-1,355","-2,115","-4,065","-7,731",-591,-1,"-3,241",0,0,"-23,626",819,0
