일자,지수,대비,기관,외국인,개인,기타,금융투자,보험,투신,사모,은행,기타금융,연기금 등,국가,외인-기타,외국인합,기타법인,합계
2020-12-16,"2,922.85",25.34,"65,605","123,432","-158,010","-31,209","35,737","-3,323","1,797","3,539","-1,168","1,190","27,833",0,183,"123,615","-31,209",0
2020-12-15,"2,897.51",-4.14,"-1,782","-6,559",-486,"10,073","-10,421","3,970","-14,249","1,137",-307,"1,566","16,522",0,"-1,246","-7,805","10,073",0
2020-12-14,"2,901.65",-0.79,"-39,180","-6,838","39,498","2,097","-47,778","7,388","-16,969","-3,718",673,"-2,784","24,008",0,"4,423","-2,415","2,097",0
2020-12-11,"2,902.44",18.26,"26,390","-45,258","23,656","4,412","3,862","4,264","-11,102","12,199",-589,911,"16,844",0,"-9,200","-54,458","4,412",0
2020-12-10,"2,884.18",33.94,"259,700","-61,451","-200,639",-97,"24,046","52,418","136,540","10,497",-909,"2,368","34,741",0,"2,487","-58,965",-97,0
2020-12-09,"2,850.24",44.97,"11,994","106,896","-117,254","-1,759","20,705","-10,241","-3,203","6,224","-1,198","1,308","-1,603",0,123,"107,020","-1,759",0
2020-12-08,"2,805.27",-27.51,"-55,032","-12,465","68,221",241,"-3,400","-6,727","-29,644","-11,292","-1,699","2,991","-5,261",0,-965,"-13,431",241,0
2020-12-07,"2,832.78",-14.61,"-103,730","48,530","53,763","1,459","-36,159","-18,352","-23,088","-11,451",-394,-874,"-13,412",0,-22,"48,508","1,459",0
2020-12-04,"2,847.39",0.92,"-113,332","-7,296","119,334","1,284","4,652","-23,211","-41,263","-11,198",-526,-643,"-41,143",0,10,"-7,286","1,284",0
2020-12-03,"2,846.47",-4.68,"-69,591","-48,632","116,820","1,458","-18,384","-6,562","-32,190","-7,886",-441,"1,752","-5,880",0,-56,"-48,687","1,458",0
2020-12-02,"2,851.15",40.98,"-33,326","12,417","31,442","-10,759","-22,541","1,719","-2,148","-3,058",255,693,"-8,246",0,226,"12,644","-10,759",0
2020-12-01,"2,810.17",30.67,"-18,691","-35,011","60,801","-7,606","10,261","-3,998","-13,493","-2,365","-2,839","-1,817","-4,440",0,508,"-34,504","-7,606",0
2020-11-30,"2,779.50",-7.1,"-87,790","66,393","41,826","-20,690","-6,695","-9,060","-21,793","-10,040","-1,150",763,"-39,815",0,260,"66,654","-20,690",0
2020-11-27,"2,786.60",26.38,"-87,786","117,853","-26,896","-2,612","-11,152","-8,842","-21,430","-10,440","-1,549",344,"-34,717",0,-559,"117,294","-2,612",0
2020-11-26,"2,760.22",10.38,"-77,795","37,297","63,012","-21,747","-8,973","3,186","-36,614","-3,019",697,-256,"-32,816",0,-767,"36,530","-21,747",0
2020-11-25,"2,749.84",-23.88,"-107,725","85,785","81,540","-57,913","-11,299","-8,852","-36,173","-7,448",-640,-268,"-43,045",0,"-1,687","84,098","-57,913",0
2020-11-24,"2,773.72",3,"-134,585","109,859","40,089","-14,301","-18,628","-7,161","-41,837","-20,087","1,708",-697,"-47,883",0,"-1,062","108,796","-14,301",0
2020-11-23,"2,770.72",25.93,"-72,798","69,247","13,708","-9,770","-11,918","-8,540","-13,779","-2,409",-172,-589,"-35,390",0,-388,"68,860","-9,770",0
2020-11-20,"2,744.79",31.12,"-20,916","35,634","-7,466","-7,702","-10,390","-1,988","-14,545","11,042",-632,-58,"-4,345",0,451,"36,084","-7,702",0
2020-11-19,"2,713.67",-4.5,"-56,361","19,939","49,748","-12,795","-19,144","-5,734","-11,221","-10,022",305,280,"-10,826",0,-531,"19,408","-12,795",0
2020-11-18,"2,718.17",-2.12,"-53,811","-3,989","73,487","-16,355","2,942","-5,781","-27,289","-6,204","-1,090",-427,"-15,962",0,669,"-3,320","-16,355",0
2020-11-17,"2,720.29",1.59,"-43,171","2,266","56,715","-15,096","-16,370","-4,660","-22,125","3,603",453,"1,515","-5,586",0,-715,"1,551","-15,096",0
2020-11-16,"2,718.70",29.63,"-48,757","45,748","9,129","-5,573","-1,011","-4,069","-24,468","-3,656",-186,"-1,498","-13,868",0,-547,"45,201","-5,573",0
2020-11-13,"2,689.07",10.35,"-1,559","-11,111","12,547",-973,"-5,548","-1,816","2,897","-6,376","1,274",-445,"8,456",0,"1,096","-10,016",-973,0
2020-11-12,"2,678.72",-5.9,"-37,142","2,468","36,446","-1,559","-42,440","6,453","1,818",128,"1,244",356,"-4,701",0,-212,"2,256","-1,559",0
2020-11-11,"2,684.62",1.38,"6,164","54,452","-59,088","16,528","34,539","-2,447","-19,898","-17,774","1,257","2,963","7,524",0,"-18,056","36,397","16,528",0
2020-11-10,"2,683.24",25.93,"7,422","-77,089","75,858","-1,646","-8,595","4,682","4,109","-3,785",-698,866,"10,843",0,"-4,545","-81,634","-1,646",0
2020-11-09,"2,657.31",71.94,"67,368","110,300","-172,775","-5,106","42,518",252,"15,014","5,526",-457,"-1,307","5,821",0,213,"110,514","-5,106",0
2020-11-06,"2,585.37",-5.44,"-7,556","31,449","-24,656",267,-951,"-7,750",164,"12,578",-451,551,"-11,697",0,496,"31,944",267,0
2020-11-05,"2,590.81",47.86,"29,432","143,197","-167,220","-5,331","28,406","-4,572","3,136","-4,333",74,"1,790","4,932",0,-77,"143,119","-5,331",0
2020-11-04,"2,542.95",7.39,"-23,670","-22,165","58,051","-11,523","13,465","-6,728","-16,160",125,"1,407","1,321","-17,099",0,-692,"-22,857","-11,523",0
2020-11-03,"2,535.56",64.52,"79,663","111,294","-175,584","-13,630","26,369","6,177","11,140","2,451",-27,"1,500","32,053",0,"-1,742","109,551","-13,630",0
2020-11-02,"2,471.04",31.92,"30,874","42,514","-73,323",96,"-1,563","3,233","4,217","-5,794",768,641,"29,371",0,-160,"42,354",96,0
2020-10-30,"2,439.12",-56.83,587,"-119,334","110,114","8,583","-22,450","-1,661",-759,"2,523",480,753,"21,702",0,50,"-119,284","8,583",0
2020-10-29,"2,495.95",-12.26,"8,605","-31,555","16,581","6,540","-27,453","3,553","10,121","12,055",368,944,"9,017",0,-171,"-31,726","6,540",0
2020-10-28,"2,508.21",49.33,"11,475","68,173","-83,071","1,287","-8,108","-7,980","6,623","4,726",311,802,"15,100",0,"2,136","70,309","1,287",0
2020-10-27,"2,458.88",-28.33,"-17,129","16,438","2,464",-404,"-9,527","-5,466","-2,125","2,630","-1,906",-656,-80,0,"-1,368","15,070",-404,0
2020-10-26,"2,487.21",-52.31,"17,575",-281,"-11,700","-8,622","3,844","-3,891","-2,969","7,921","1,045","-2,253","13,878",0,"3,029","2,748","-8,622",0
2020-10-23,"2,539.52",18.19,"76,644","4,610","-79,540","-1,302","2,933","4,429","11,634","10,944",444,-117,"46,376",0,-412,"4,198","-1,302",0
2020-10-22,"2,521.33",-12.56,"3,462","-6,704","6,318","-3,264","4,345","3,208","-7,551","-5,899",-385,451,"9,293",0,187,"-6,516","-3,264",0
2020-10-21,"2,533.89",43.09,"29,591","66,616","-99,188","2,777","9,447","2,463","8,859","-3,545",-162,606,"11,923",0,204,"66,820","2,777",0
2020-10-20,"2,490.80",-3.52,"-18,704",-185,"19,323",-251,"8,236","-5,687","-7,153","-11,151",-795,-3,"-2,151",0,-183,-368,-251,0
2020-10-19,"2,494.32",20.92,"40,980","60,219","-97,595","-3,480","33,113","2,772",193,"4,919","-1,639",30,"1,593",0,-125,"60,095","-3,480",0
2020-10-16,"2,473.40",-26.41,"-47,123","19,131","28,453",-720,"1,646","-7,226","-10,993","-5,976",371,"1,158","-26,102",0,259,"19,389",-720,0
2020-10-15,"2,499.81",-18.38,"-13,168","29,704","-10,533","-2,079","3,017",11,"-5,175","-2,590",-295,534,"-8,670",0,"-3,925","25,780","-2,079",0
2020-10-14,"2,518.19",-26.22,"-31,894","13,425","22,789","-5,707","-1,970","3,569","-8,400","-9,822","-1,509",663,"-14,426",0,"1,387","14,812","-5,707",0
2020-10-13,"2,544.41",-28.17,"-28,530","-6,827","36,466","-1,025","-17,618",419,"-1,254","2,183",183,819,"-13,262",0,-84,"-6,911","-1,025",0
2020-10-12,"2,572.58",12.43,"2,303","-28,822","29,025","-2,940","3,029","3,296","11,604",-584,"-1,643",783,"-14,181",0,435,"-28,388","-2,940",0
2020-10-08,"2,560.15",22.92,"-1,656","61,029","-53,021","-5,366","-35,475","11,050","14,729","8,417",-351,"2,909","-2,935",0,-986,"60,043","-5,366",0
2020-10-07,"2,537.23",12.49,"18,104","-41,969","24,922","-3,892","22,220","2,356","-5,931","-1,202",-922,"1,649",-65,0,"2,835","-39,134","-3,892",0
2020-10-06,"2,524.74",-0.04,"33,584","11,468","-53,469","6,960","4,444","4,439","16,131","10,887",-812,"1,896","-3,400",0,"1,457","12,925","6,960",0
2020-10-05,"2,524.78",47.13,"61,586","-28,017","-30,736","-3,317","25,442","4,688","9,078","11,914",-733,"2,127","9,070",0,484,"-27,533","-3,317",0
2020-09-29,"2,477.65",24.79,"32,976","-45,967","-34,329","47,507","12,678","9,518","1,538",-576,-876,"1,610","9,086",0,-187,"-46,154","47,507",0
2020-09-28,"2,452.86",40.64,"16,634","30,386","-46,311",346,"7,101",947,"-1,240","-3,506","-1,168","1,344","13,156",0,"-1,056","29,331",346,0
2020-09-25,"2,412.22",3.19,"10,377","-42,498","22,404","9,144","1,329",722,"-1,828",395,"-1,164","1,846","9,077",0,572,"-41,925","9,144",0
2020-09-24,"2,409.03",-95.97,"-41,205","-15,174","28,762","26,979","-6,827",-587,"-7,439","-14,756","-1,428","1,247","-11,415",0,638,"-14,535","26,979",0
