date,actual,prediction
397,2249.37,2262.55
398,2251.04,2240.7
399,2279.97,2247
400,2311.86,2281.22
401,2342.61,2313.15
402,2351.67,2343.27
403,2386.38,2347.22
404,2418.67,2388.75
405,2432.35,2420.19
406,2437.53,2429.58
407,2407.49,2433.3
408,2348.24,2394.22
409,2360.54,2329.09
410,2274.22,2360.38
411,2304.59,2245.85
412,2329.83,2306.52
413,2366.73,2324.78
414,2369.32,2363.46
415,2344.45,2356.2
416,2353.8,2326.16
417,2326.17,2345.79
418,2349.55,2309.38
419,2364.37,2347.11
420,2395.9,2358.43
421,2368.25,2394.6
422,2384.22,2351.42
423,2401.91,2381.01
424,2375.81,2397.72
425,2396.48,2360.79
426,2396.69,2395.09
427,2427.91,2387.95
428,2443.58,2428.12
429,2435.92,2437.84
430,2406.17,2424.57
431,2412.4,2389.94
432,2389.39,2407.1
433,2332.59,2374.45
434,2333.24,2310.33
435,2272.7,2326.35
436,2278.79,2248.42
437,2308.08,2271.85
438,2327.89,2303.31
439,2358,2319.91
440,2365.9,2352.38
441,2386.94,2355.35
442,2391.96,2381.6
443,2403.73,2383.67
444,2403.15,2399.16
445,2380.48,2396.05
446,2361.21,2368.84
447,2341.53,2351.57
448,2346.74,2331.49
449,2358.41,2342.28
450,2370.86,2353.58
451,2355.05,2365.01
452,2360.81,2341.45
453,2343.91,2353.46
454,2330.84,2330.37
455,2345.26,2319.53
456,2326.67,2340.49
457,2267.15,2313.19
458,2300.16,2245.7
459,2343.31,2300.94
460,2357.32,2343.9
461,2413.79,2350.63
462,2416.5,2418
463,2447.2,2406.45
464,2452.83,2447.63
465,2485.87,2446.3
466,2475.62,2489.22
467,2493.87,2465.6
468,2543.03,2494.59
469,2539.15,2550.5
470,2545.64,2528.44
471,2547.42,2540.86
472,2553.5,2539.27
473,2602.59,2546.72
474,2617.76,2607.96
475,2601.54,2607.92
476,2625.91,2583.73
477,2633.45,2623.04
478,2591.34,2620.94
479,2634.25,2564.01
480,2675.9,2638.6
481,2696.22,2670.77
482,2731.45,2684.2
483,2745.44,2725.22
484,2700.93,2729.72
